machineID,model,cm1,cm2
1,model3,18,18
2,model4,7,7
3,model3,8,8
4,model3,7,7
5,model3,2,2
6,model3,7,7
7,model3,20,20
8,model3,16,16
9,model4,7,7
10,model3,10,10
11,model2,6,6
12,model3,9,9
13,model1,15,15
14,model3,1,1
15,model3,14,14
16,model1,3,3
17,model1,14,14
18,model3,15,15
19,model3,17,17
20,model2,16,16
21,model2,14,14
22,model1,14,14
23,model1,17,17
24,model1,20,20
25,model4,16,16
26,model3,3,3
27,model3,9,9
28,model4,1,1
29,model4,3,3
30,model3,20,20
31,model1,11,11
32,model4,15,15
33,model3,14,14
34,model4,10,10
35,model1,17,17
36,model4,5,5
37,model1,16,16
38,model4,15,15
39,model4,0,0
40,model2,4,4
41,model4,9,9
42,model1,7,7
43,model3,14,14
44,model4,7,7
45,model3,14,14
46,model4,10,10
47,model2,6,6
48,model4,10,10
49,model1,15,15
50,model4,4,4
51,model4,19,19
52,model3,14,14
53,model3,5,5
54,model2,10,10
55,model3,17,17
56,model1,10,10
57,model4,10,10
58,model1,5,5
59,model3,17,17
60,model4,3,3
61,model4,2,2
62,model4,20,20
63,model4,14,14
64,model3,20,20
65,model3,15,15
66,model4,6,6
67,model4,14,14
68,model3,10,10
69,model2,19,19
70,model3,9,9
71,model2,18,18
72,model4,2,2
73,model2,20,20
74,model4,4,4
75,model3,19,19
76,model2,10,10
77,model4,12,12
78,model4,19,19
79,model3,14,14
80,model3,6,6
81,model4,1,1
82,model3,11,11
83,model4,18,18
84,model3,9,9
85,model1,16,16
86,model3,2,2
87,model2,12,12
88,model4,14,14
89,model3,17,17
90,model2,2,2
91,model4,17,17
92,model1,2,2
93,model3,18,18
94,model2,18,18
95,model2,18,18
96,model2,10,10
97,model2,14,14
98,model2,20,20
99,model1,14,14
100,model4,5,5
